Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL,Exit Price,P&L
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1865594981362155728,08/12/2024,9-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Alephium (ALPH)
📈 Signal: Buy
🎯 Targets:
TP1: $2.62
TP2: $2.74
🛑 Stop Loss: $2.24
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights ALPH's strong chart momentum and a $10 aspirational target. Market data shows +14.42% price surge with +76.59% volume growth, indicating bullish momentum. Set stop loss below the recent consolidation zone to protect gains. Monitor RSI for overbought signals given rapid appreciation.",Alephium (ALPH),alephium,2.1791,2.4933,2.4597,2.3133,0.3332,2.62,2.74,2.24,2.24,2.79%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1830573647909511670,02/09/2024,3-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Sundog (SUNDOG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.266
TP2: $0.279
🛑 Stop Loss: $0.225
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights SUNDOG's stability amid market volatility and KuCoin listing catalyst. Market data shows +7.88% price surge with +8.07% market cap growth, signaling bullish momentum. Set stop loss below the recent consolidation zone to manage risk. Monitor volume spikes post-listing for breakout confirmation.",Sundog (SUNDOG),sundog,0.2353,0.2539,0.2464,0.3549,0.0459,0.266,0.279,0.225,0.225,-4.38%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1831415528336060771,05/09/2024,6-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: ZIGChain (ZIG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.092
TP2: $0.098
🛑 Stop Loss: $0.078
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights strong staking adoption (140M ZIG staked, 130%+ yield) and upcoming airdrops. Despite the recent -3.59% dip, staking reduces circulating supply and signals long-term confidence. Target a rebound to pre-dip levels, using the stop loss to hedge against volatility. Monitor staking growth and airdrop announcements for momentum confirmation.",Zignaly (ZIG),zignaly,0.0901,0.0901,0.0993,0.1172,0.0781,0.092,0.098,0.078,0.092,2.11%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1832514742851686443,08/09/2024,9-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Zebec Network (ZBCN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.001053
TP2: $0.001103
🛑 Stop Loss: $0.000852
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights ZBCN's strong fundamentals ($10M+ revenue, $102B+ payroll partnerships, DST Global backing) and upcoming revenue-driven momentum. Price surged +9.82% despite slight volume dip (-1.44%), signaling bullish technical alignment. Target retest of local highs with stop loss below recent consolidation. Monitor volume resurgence for confirmation of breakout.",Zebec Network (ZBCN),zebec-network,0.0009,0.0009,0.0013,0.0014,0.0009,0.001053,0.001103,0.000852,0.001053,17.00%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1833491383342043583,10/09/2024,11-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Non-Playable Coin (NPC)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0165
TP2: $0.0175
🛑 Stop Loss: $0.0154
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Bullish sentiment from social hype aligns with a 2.96% price rise, but monitor volume confirmation. Key resistance at $0.0165 must break decisively. Maintain strict stop loss given mixed technical indicators (12 sell vs. 2 buy signals historically). Rising market cap suggests accumulation, but declining volume warrants caution.",Non-Payable Coin (NPC),non-playable-coin,0.0162,0.0162,0.016,0.0313,0.0071,0.0165,0.0175,0.0154,0.0154,-4.94%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1845069774314709358,12/10/2024,13-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Gou (GOU)
📈 Signal: Buy
🎯 Targets:
TP1: $0.015
TP2: $0.018
🛑 Stop Loss: $0.011
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Meme coin momentum aligns with 77.71% price surge and 42.92% volume growth. Dog-themed narratives dominate markets (search results10), but monitor profit-taking risks after parabolic moves. Maintain stop loss below key support at $0.011 to mitigate volatility. Market cap target of $1B implies +7,100% upside – scale profits incrementally.",Gou (GOU),gou,0.0077,0.0137,0.0182,0.0111,0.0001,0.015,0.018,0.011,0.011,42.86%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1854153860790501698,06/11/2024,7-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Nexera (NXRA)
📈 Signal: Buy
🎯 Targets:
TP1: $0.026
TP2: $0.028
🛑 Stop Loss: $0.023
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Recent 9.17% price surge supported by 123.64% volume spike suggests bullish momentum. Monitor Nexera Exchange developments for protocol-driven growth. Maintain stop loss below key support as technical indicators show mixed signals.",Nexera (NXRA),allianceblock-nexera,0.025,0.025,0.0428,0.0852,0.0123,0.026,0.028,0.023,0.023,-8.00%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1854153860790501698,06/11/2024,7-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Nuklai (NAI)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0065
TP2: $0.0075
🛑 Stop Loss: $0.0058
⏳ Timeline: 24-48 hours

💡 Trade Tip:
32.46% price surge with 410% volume growth signals strong retail interest. Tight stop loss advised given parabolic move. Consider scaling profits amid high volatility and potential profit-taking near $0.007 resistance.",Nuklai (NAI),nuklai,0.0063,0.0063,0.0075,0.0131,0.002,0.0065,0.0075,0.005,0.005,-20.63%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1854489716944404501,07/11/2024,8-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Vanar Chain (VANRY)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0990
TP2: $0.1080
🛑 Stop Loss: $0.0775
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights strong bullish sentiment from a key advisor, paired with a 16.67% price surge and 180% volume spike. Target TP1 near $0.099 (10% upside) and TP2 at $0.108 (20% upside). Set a trailing stop loss to protect gains if volatility reverses. Monitor for updates on project developments.",Vanar Chain (VANRY),vanar-chain,0.0772,0.0772,0.105,0.1721,0.0283,0.099,0.108,0.0775,0.0775,0.39%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1863516236119708111,02/12/2024,3-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: TARS AI (TAI)
📈 Signal: Buy
🎯 Targets:
TP1: $0.450
TP2: $0.494
🛑 Stop Loss: $0.360
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights a 350% historical surge and strong liquidity, aligning with the 3.71% recent price uptick. Target TP1 near $0.450 (14% upside) and TP2 at ATH resistance ($0.494). Tighten stop loss to $0.360 if volatility spikes. Monitor volume trends for sustained momentum post-recent 18% dip.",Tars AI (TAI),tars-protocol,0.3808,0.3949,0.4049,0.453,0.0704,0.45,0.494,0.36,0.36,-5.46%
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1864673712714227894,05/12/2024,6-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: FARCANA (FAR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0170
TP2: $0.0190
🛑 Stop Loss: $0.0130
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The LayerZero multi-chain expansion announcement aligns with a 9.47% price surge and rising market cap. Target TP1 at $0.017 (15% upside) and TP2 near $0.019 (30% upside). Use a tight stop loss below $0.013 to hedge against volatility. Monitor BNB/Ethereum chain activity and staking updates for momentum confirmation.",Farcana (FAR),farcana,0.0147,0.0147,0.0186,0.0184,0.0022,0.017,0.019,0.013,0.017,15.65%
CryptoReviewing,https://x.com/CryptoReviewing/status/1830588031411053014,02/09/2024,3-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Propchain (PROPC)
📈 Signal: Buy
🎯 Targets:
TP1: $1.12
TP2: $1.15
🛑 Stop Loss: $1.08
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The approved 25% token burn reduces supply scarcity, potentially boosting demand. Monitor volume spikes for confirmation of upward momentum. Set stop loss below $1.08 to manage downside risk amid short-term volatility.",Propchain (PROPC),propchain,1.099,1.099,1.0443,1.5214,0.4494,1.12,1.15,1.08,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1831346805566746820,04/09/2024,5-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Rowan Coin ($RWN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0328
TP2: $0.0350
🛑 Stop Loss: $0.0280
⏳ Timeline: Short-term (1-2 weeks)

💡 Trade Tip:
Strong fundamentals in DePIN ($3.5T market) and revenue-sharing tokenomics support upside. Recent 7.65% dip offers entry near key support. Use stop loss to manage volatility from bearish volume/mcap trends. Monitor partnership-driven momentum for TP2 breakout.",Rowan Coin (RWN),rowan-coin,0.0303,0.0303,0.03,0.0312,0.0075,0.0328,0.035,0.028,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1831652493241033101,05/09/2024,6-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Realio Network Token ($RIO)
📈 Signal: Buy
🎯 Targets:
TP1: $0.6510
TP2: $0.7000
🛑 Stop Loss: $0.5500
⏳ Timeline: Short-term (1-2 weeks)

💡 Trade Tip:
Upcoming roadmap catalysts (Fee Burning, Multi-Staking, Land Rush) support bullish momentum despite recent 8.07% dip. Target retest of $0.6510 resistance with volatility management via stop loss. Monitor volume recovery for confirmation of bullish reversal.",Realio Network Token (RIO),realio-network,0.651,0.5985,0.7416,1.3692,0.2051,0.651,0.7,0.55,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1831734770990198866,05/09/2024,6-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Morpheus Network ($MNW)
📈 Signal: Buy
🎯 Targets:
TP1: $0.4180
TP2: $0.4500
🛑 Stop Loss: $0.3800
⏳ Timeline: Short-term (1-2 weeks)

💡 Trade Tip:
Strong institutional partnerships (FedEx, UPS, Microsoft) and exposure to a $15T supply chain industry support upside potential. Recent 4.42% dip offers entry below resistance at $0.4180. Use stop loss to mitigate volatility from bearish volume trends. Monitor roadmap execution for TP2 breakout.",Morpheus Network (MNW),morpheus-network,0.3996,0.3996,0.3802,0.5358,0.1193,0.418,0.45,0.38,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1841435571341676880,02/10/2024,3-10-2023,"🚀 Bullish Alert 🚀

🏛️ Token: ChainGPT ($CGPT)
📈 Signal: Buy
🎯 Targets:
TP1: $0.1545
TP2: $0.1600
🛑 Stop Loss: $0.1450
⏳ Timeline: Short-term (1-2 weeks)

💡 Trade Tip:
Strong institutional backing (Google, Binance, NVIDIA) and AI-driven utility in a $15T supply chain sector support upside. Recent 1.07% dip offers entry near historical resistance at $0.1545. Use stop loss to hedge against bearish volume decline (-27.97%). Watch for partnership-driven catalysts like Binance Pay integration",ChainGPT (CGPT),chaingpt,0.1546,0.1529,0.1589,0.1435,0.0969,0.1545,0.16,0.145,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1841524506097287385,02/10/2024,3-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Dimitra (DMTR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.10
TP2: $0.137
🛑 Stop Loss: $0.085
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
Buy the dip given strong fundamentals (agriculture-AI narrative, global partnerships, deflationary tokenomics). Monitor stop loss closely due to recent -7.12% price decline and reduced trading volume. Targets align with historical resistance levels and project growth potential.",Dimitra (DMTR),dimitra,0.0914,0.0914,0.0949,0.1265,0.0215,0.1,0.137,0.085,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1852765846151569716,02/11/2024,3-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: AxonDAO Governance Token (AXGT)
📈 Signal: Buy
🎯 Targets:
TP1: $0.18
TP2: $0.24
🛑 Stop Loss: $0.14
⏳ Timeline: 2-6 weeks

💡 Trade Tip:
Buy the dip fueled by strong DeSci fundamentals (NVIDIA partnership, medical R&D use cases) and low circulating supply. Recent -9.07% price decline offers entry below key support-turned-resistance at $0.17. Tight stop loss mitigates risks from bearish volume (-23.35%) and weak momentum. Targets align with roadmap catalysts and historical price recovery patterns.",AxonDAO Governance Token (AXGT),axondao-governance-token,0.1568,0.1568,0.1832,0.4382,0.1343,0.18,0.24,0.14,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1856396506523443628,12/11/2024,13-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: peaq (PEAQ)
📈 Signal: Buy
🎯 Targets:
TP1: $0.50
TP2: $0.60
🛑 Stop Loss: $0.35
⏳ Timeline: Short-term (1-2 weeks)

💡 Trade Tip:
Strong DePIN narrative, partnerships (Tesla/Bosch), and recent 300% price surge suggest momentum. Monitor volume for continuation signals. Tight stop-loss advised due to low circulating supply (9%) and tokenomics risks. Take partial profits at TP1/TP2 given volatility.",peaq (PEAQ),peaq-2,0.4009,0.4009,0.3348,0.6894,0.1025,0.5,0.6,0.35,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1865460305318301706,07/12/2024,8-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Kaspa (KAS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.20
TP2: $0.25
🛑 Stop Loss: $0.15
⏳ Timeline: Short-term (2-4 weeks)

💡 Trade Tip:
Strong Layer 1 fundamentals with solved scalability trilemma and 86% circulating supply support upside. Recent 5.79% price rise and 17.87% volume surge indicate momentum. Watch for resistance at $0.22 (historical March 2025 projections) and broader crypto market sentiment shifts. Tight stop-loss protects against volatility from low FDMC saturation.",Kaspa (KAS),kaspa,0.1848,0.1848,0.1886,0.1569,0.0821,0.2,0.25,0.15,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1869450082493268180,19/12/2024,20-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Velo (VELO)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0284
TP2: $0.0300
🛑 Stop Loss: $0.0230
⏳ Timeline: 3-7 days

💡 Trade Tip:
Strong DeFi narrative with Visa/SOL partnerships and utility in swaps/bridging supports upside. Recent 11.68% dip creates entry opportunity. Monitor RSI rebound and volume increase for confirmation. Maintain tight stop-loss given recent bearish momentum.",Velo (VELO),velo,0.0284,0.0284,0.0296,0.037,0.0142,0.0284,0.03,0.023,,
dippy_eth,https://x.com/dippy_eth/status/1831974594774769881,06/09/2024,7-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: LinqAI (LNQ)
📈 Signal: Buy
🎯 Targets:
TP1: $0.1198
TP2: $0.2273
🛑 Stop Loss: $0.1000
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
AI-sector momentum and breakout from downtrend signal upside potential. Recent 5.16% dip offers entry near support. Set tight stop-loss to manage volatility risk. Monitor volume spikes for confirmation of sustained bullish reversal.",LinqAI (LNQ),linqai,0.1198,0.1136,0.1689,0.175,0.034,0.1198,0.2273,0.1,,
