Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,SL,Exit Price,P&L
holdersignals,https://x.com/holdersignals/status/1856598499439399144,13/11/2024,14-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Lisk (LSK)
📈 Signal: Buy
🎯 Targets:
TP1: $1.10
TP2: $1.30
🛑 Stop Loss: $0.80

💡 Trade Tip:
LSK mirrors Upbit-driven rallies seen in STEEM/STRAX with 2x exchange volume dominance. Despite -3.92% dip, whale accumulation potential exists. Target $1.30 resistance (Nov 2024 highs) while hedging with stop below $0.80. Monitor BTC correlation and Upbit order flow for breakout confirmation.",Lisk (LSK),lisk,0.9868,0.9482,1.0502,1.429,0.553,1.1,0.8,1.1,11.47%
holdersignals,https://x.com/holdersignals/status/1856605207473656033,13/11/2024,14-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Radworks (RAD)
📈 Signal: Buy
🎯 Targets:
TP1: $1.50
TP2: $2.00
🛑 Stop Loss: $1.00

💡 Trade Tip:
RAD mirrors AGLD's Upbit listing pump potential with +354% volume surge and thin liquidity amplifying volatility. Target $2.00 (Nov 2024 resistance) post-listing momentum. Stop-loss below $1.00 hedges against BTC-driven corrections. Monitor Upbit order books for whale accumulation patterns and BTC correlation per tweet’s narrative.",Radworks (RAD),radicle,1.1967,1.2007,1.3197,1.8627,0.8398,1.5,1,1.5,25.34%
holdersignals,https://x.com/holdersignals/status/1856669302717354220,13/11/2024,14-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: XRP (XRP)
📈 Signal: Buy
🎯 Targets:
TP1: $1.00
TP2: $1.50
🛑 Stop Loss: $0.60

💡 Trade Tip:
XRP's retest signals whale accumulation (-3% dip vs. $1M long entry). Target $1.00 breakout (45% upside) with tight stop below $0.60 support. Monitor Ripple-SEC case progress and BTC correlation for momentum. Volume rebound needed to sustain rally (-44.85% dip). Track Upbit/Binance flows for whale confirmation.",XRP (XRP),ripple,0.6912,0.6912,1.1229,2.7088,2.2431,1,0.6,1,44.68%
holdersignals,https://x.com/holdersignals/status/1861421208065187897,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Lumia (LUMIA)
📈 Signal: Buy
🎯 Targets:
TP1: $2.00
TP2: $4.00
🛑 Stop Loss: $1.00

💡 Trade Tip:
LUMIA shows bullish momentum with +9.22% price surge and stable MCap growth. Target $4.00 if volume rebounds from -2.35% dip. Use tight stop-loss below $1.00 support to hedge against volatility. Monitor RSI (neutral 36.84) for breakout confirmation and sector-wide AI agent trends for sustained traction.",Lumia (LUMIA),lumia,1.4175,1.4175,1.6802,2.2094,0.4444,2,1,2,41.09%
holdersignals,https://x.com/holdersignals/status/1861487279841386892,27/11/2024,28-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Tatsu (TATSU)
📈 Signal: Buy
🎯 Targets:
TP1: $20.00
TP2: $50.00
🛑 Stop Loss: $8.00

💡 Trade Tip:
TATSU shows bullish momentum (+4.33% price, +26.82% volume) amid $TAO ecosystem growth expectations. Target $20 (recent ATH retest) and $50 (5x upside) if Bittensor adoption accelerates. Stop-loss below $8.00 protects against volatility despite zero MCap data. Monitor $TAO’s trajectory and Tatsu validator integrations for breakout confirmation.",Tatsu (TATSU),tatsu,10.6782,10.6782,17.4218,17.4218,4.0637,20,8,8,-25.08%
holdersignals,https://x.com/holdersignals/status/1844427804668211531,10/10/2024,11-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: AirDAO (AMB)
📈 Signal: Buy
🎯 Targets:
TP1: $0.010
TP2: $0.020
🛑 Stop Loss: $0.0050

💡 Trade Tip:
AMB’s L1 ecosystem growth (+2.85% price rise) aligns with strong team execution per tweet analysis. Target $0.02 (3.3x upside) if DeFi adoption accelerates. Tight stop-loss below $0.0050 mitigates risks from -49.8% volume contraction. Monitor BTC correlation and AirDAO's governance updates for trend confirmation. Use trailing stops if $0.020 resistance breaks.",AirDAO (AMB),amber,0.0061,0.0061,0.0065,0.0067,0.0002,0.01,0.005,0.01,63.93%
holdersignals,https://x.com/holdersignals/status/1865491112884150448,08/12/2024,9-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Adventure Gold (AGLD)
📈 Signal: Buy
🎯 Targets:
TP1: $2.50
TP2: $3.00
🛑 Stop Loss: $1.50

💡 Trade Tip:
AGLD shows volatility potential with +2.42% volume uptick despite -1.05% price dip. Target $3.00 (82% upside) if bullish momentum aligns with gaming ecosystem growth. Tight stop-loss below $1.50 protects against fakeout risks. Monitor L2 gaming adoption and BTC correlation for breakout confirmation.",Adventure Gold (AGLD),adventure-gold,1.6674,1.6674,1.6498,2.8795,0.9873,2.5,1.5,1.5,-10.04%
holdersignals,https://x.com/holdersignals/status/1869512855927865478,19/12/2024,20-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Stafi (FIS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.44
TP2: $0.70
🛑 Stop Loss: $0.30

💡 Trade Tip:
FIS shows oversold RSI (26.98) with +3.72% volume uptick despite -13.52% price dip. Target $0.44 (13% upside) for retest of Dec 19 levels. Stop-loss below $0.30 protects against bearish divergence. Monitor BTC correlation and protocol upgrades for rebound confirmation. Watch for breakout above $0.44 to validate recovery narrative.",Stafi (FIS),stafi,0.448,0.448,0.4621,0.5388,0.1743,0.44,0.3,0.44,-1.79%
holdersignals,https://x.com/holdersignals/status/1872653961884487728,27/12/2024,28-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Artificial Superintelligence Alliance (FET)
📈 Signal: Buy
🎯 Targets:
TP1: $1.50
TP2: $2.00
🛑 Stop Loss: $1.10

💡 Trade Tip:
FET shows bullish momentum with +3.81% price rise and +26.38% volume surge, aligning with AI narrative dominance. Target $2.00 (52% upside) as BTC bullishness could propel AI tokens. Stop-loss below $1.10 protects against volatility. Monitor ASI ecosystem updates and BTC correlation for breakout confirmation.",Artificial Superintelligence Alliance (FET),fetch-ai,1.3114,1.3114,1.3815,1.6095,0.5016,1.5,1.1,1.5,14.38%
BenjiGanar,https://x.com/BenjiGanar/status/1858098668131197249,17/11/2024,18-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Dolos The Bully (BULLY)
📈 Signal: Buy
🎯 Targets:
TP1: $0.050
TP2: $0.100
🛑 Stop Loss: $0.025

💡 Trade Tip:
BULLY shows aggressive momentum (+35.37% surge, +38.45% volume) with whale accumulation targeting $1B MCap. Target $0.10 (3x from entry) as holder growth accelerates. Stop-loss below $0.025 protects against post-pump volatility. Monitor volume sustainability and BTC correlation for trend confirmation. Track $50M MCap milestone for breakout validation.",Dolos The Bully (BULLY),dolos-the-bully,0.025,0.0338,0.1963,0.2389,0.0015,0.05,0.025,0.025,0.00%
BenjiGanar,https://x.com/BenjiGanar/status/1866425412739625009,10/12/2024,11-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: WINR Protocol (WINR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.41
TP2: $0.50
🛑 Stop Loss: $0.030

💡 Trade Tip:
WINR's altseason momentum aligns with protocol upgrades (Dec 2024 roadmap) and +5.65% volume uptick despite -0.60% dip. Target $0.50 (10x) if breakout confirms with BTC stability. Stop-loss below $0.030 hedges against bearish divergence. Monitor WINR Chain adoption and B2B gaming partnerships for sustained traction. Watch for volume expansion to validate bullish PA.",WINR Protocol (WINR),winr-protocol,0.0414,0.0414,0.0546,0.0559,0.012,0.41,0.03,0.03,-27.54%
BenjiGanar,https://x.com/BenjiGanar/status/1866440667578483041,10/12/2024,11-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: peaq (PEAQ)
📈 Signal: Buy
🎯 Targets:
TP1: $1.38
TP2: $3.45
🛑 Stop Loss: $0.50

💡 Trade Tip:
PEAQ shows bullish momentum (+1.15% price, +127.56% volume) with $5B MCap potential per tweet’s roadmap. Target $3.45 (5x) as emissions-driven volatility persists. Tight stop-loss below $0.50 hedges against profit-taking risks. Take partial profits at TP1/TP2 and monitor token emission schedules. Track BTC correlation and ecosystem adoption for breakout validation.",peaq (PEAQ),peaq-2,0.6816,0.6894,0.6637,0.6774,0.1032,1.38,0.5,0.5,-26.64%
BenjiGanar,https://x.com/BenjiGanar/status/1868602647592235303,16/12/2024,17-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Bloomsperg Terminal (SPERG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0104
TP2: $0.0150
🛑 Stop Loss: $0.0070

💡 Trade Tip:
SPERG's recent 3-day surge (+historical volatility) contrasts with -17.58% correction and low holder count. Target $0.0150 (Dec 2025 resistance) if visibility improves. Tight stop-loss below $0.0070 hedges against illiquidity risks. Monitor volume recovery from -5.91% dip and community growth for breakout confirmation. Track BTC correlation for macro trend alignment.",Bloomsperg Terminal (SPERG),bloomsperg-terminal,0.0104,0.0086,0.0078,0.0227,0.0005,0.0104,0.007,0.0104,0.00%
BenjiGanar,https://x.com/BenjiGanar/status/1868641703168790593,16/12/2024,17-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: GRIFFAIN (GRIFFAIN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.45
TP2: $0.65
🛑 Stop Loss: $0.22

💡 Trade Tip:
GRIFFAIN shows renewed momentum (+1.65% price, +24.29% volume) post-profit-taking at $90M MCap. Target $0.65 (Dec 2024 ATH retest) if influencer shilling resumes. Tight stop-loss below $0.22 protects against volatility from whale exits. Monitor Solana ecosystem trends and BTC correlation for re-entry confirmation. Partial profits at TP1 advised.",GRIFFAIN (GRIFFAIN),griffain,0.2934,0.2934,0.3226,0.484,0.0466,0.45,0.22,0.22,-25.02%
BenjiGanar,https://x.com/BenjiGanar/status/1868612191714263088,16/12/2024,17-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Dasha (VVAIFU)
📈 Signal: Buy
🎯 Targets:
TP1: $0.10
TP2: $0.66
🛑 Stop Loss: $0.050

💡 Trade Tip:
VVAIFU’s AI agent infrastructure play aligns with Van Eck’s 1M agent forecast (+10% market share = 100K agents). Target $0.66 (10x) fueled by SOL ecosystem dominance and 20-30%+ supply burns. Stop-loss below $0.050 hedges against -30% recent dip. Monitor MCap milestones ($60M entry target) and AI sector narratives for momentum confirmation. Track token burn mechanics for scarcity-driven rallies.",Dasha (VVAIFU),dasha,0.0947,0.0661,0.063,0.1264,0.0051,0.1,0.05,0.05,-47.20%
BenjiGanar,https://x.com/BenjiGanar/status/1873422224541261854,29/12/2024,30-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Top Hat (HAT)
📈 Signal: Buy
🎯 Targets:
TP1: $0.070
TP2: $0.100
🛑 Stop Loss: $0.035

💡 Trade Tip:
HAT's Solana-based AI agent ecosystem (+9.54% price surge, +68.74% volume) targets leadership in a booming sector. Aim for $0.10 (2.2x) as partnerships (Four.meme) and V2 upgrades drive adoption. Stop-loss below $0.035 protects against profit-taking. Monitor AI agent adoption metrics and SOL ecosystem trends. Track token burns (10% revenue) for supply-side catalysts.",Top Hat (HAT),top-hat,0.0451,0.0451,0.0873,0.0982,0.0055,0.07,0.035,0.07,55.21%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1836344051425251711,18/09/2024,19-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Dreams Quest (DREAMS)
📈 Signal: Buy
🎯 Targets:
TP1: $0.00035
TP2: $0.00060
🛑 Stop Loss: $0.00020

💡 Trade Tip:
DREAMS shows reversal potential (+4.91% price uptick) amid dip-buying narrative despite -55.31% volume contraction. Target $0.00060 (2.5x) if Kucoin listing drives liquidity influx. Tight stop-loss below $0.00020 mitigates risks from low MCap volatility. Monitor volume recovery and BTC alignment for trend confirmation. Partial profits at TP1 advised.",Dreams Quest (DREAMS),dreams-quest,0.0002,0.0002,0.0003,0.0003,0.0003,0.00035,0.0002,0.00035,75.00%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1836641929712607700,19/09/2024,20-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: ZIGChain (ZIG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.15
TP2: $0.25
🛑 Stop Loss: $0.085

💡 Trade Tip:
ZIG shows resilience (+2.63% price, +13.39% volume) amid altcoin weakness, signaling accumulation. Target $0.25 (2.5x) as ZIGChain’s $100M ecosystem fund and Cosmos L1 adoption fuel uptober momentum. Tight stop-loss below $0.085 protects against BTC-driven volatility. Monitor ZIGDAO governance updates and burn mechanics (20-30% supply reduction) for bullish confirmation.",ZIGChain (ZIG),zignaly,0.0978,0.1004,0.1172,0.1123,0.078,0.15,0.085,0.085,-13.09%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1836718010515755352,19/09/2024,20-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Work X (WORK)
📈 Signal: Buy
🎯 Targets:
TP1: $0.20
TP2: $0.40
🛑 Stop Loss: $0.08

💡 Trade Tip:
WORK combines AI/RWA narratives with +6.50% price surge and +17.85% volume growth. Target $0.40 (4x) as Kucoin listing boosts visibility. Stop-loss below $0.08 hedges against low MCap volatility. Monitor roadmap updates and BTC alignment for breakout confirmation. Track RWA sector momentum for sustained traction.",Work X (WORK),work-x,0.097,0.1033,0.1437,0.1761,0.0128,0.2,0.08,0.08,-17.53%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1836095690487009789,17/09/2024,18-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Ice Open Network (ICE)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0075
TP2: $0.0150
🛑 Stop Loss: $0.0035

💡 Trade Tip:
ICE shows breakout potential (+3.16% price rise) with Kucoin momentum and active team per tweet’s ONDO fractal comparison. Target $0.0150 (3.8x) if mainnet adoption accelerates. Stop-loss below $0.0035 hedges against -8.18% volume dip. Monitor ecosystem growth (40M+ users) and BTC correlation for trend validation. Track Layer-1 scalability updates for breakout confirmation.",Ice Open Network (ICE),ice,0.0039,0.0039,0.0059,0.009,0.003764,0.0075,0.0035,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1845352538973016177,13/10/2024,14-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Share (SHR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0020
TP2: $0.0028
🛑 Stop Loss: $0.0011

💡 Trade Tip:
SHR shows accumulation signals (+2.76% price, +53.84% volume) amid KuCoin liquidity and ecosystem growth. Target $0.0028 (2x) if BTC stability aligns with altseason momentum. Stop-loss below $0.0011 protects against low MCap volatility. Monitor ShareLedger adoption and AI/DeFi narrative traction for breakout confirmation.

5.30 sec to first token",Share (SHR),sharering,0.0014,0.0014,0.0014,0.0017,0.0017,0.002,0.0011,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1845907065086042252,15/10/2024,16-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Inspect (INSP)
📈 Signal: Buy
🎯 Targets:
TP1: $0.057
TP2: $0.144
🛑 Stop Loss: $0.020

💡 Trade Tip:
INSP shows explosive momentum (+37.11% price surge, +461.70% volume) amid KuCoin listing and partnership speculation. Target $0.144 (5x) if Layer-2 adoption aligns with NFT/Web3 narratives. Tight stop-loss below $0.020 protects against profit-taking volatility. Monitor partnership announcements and BTC correlation for trend confirmation. Track staking utility (fee discounts) and DAO governance updates for sustained demand.",Inspect (INSP),inspect,0.0211,0.0211,0.0453,0.0792,0.0044,0.057,0.02,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1853092214781386844,03/11/2024,4-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Vanar Chain (VANRY)
📈 Signal: Buy
🎯 Targets:
TP1: $0.09
TP2: $0.12
🛑 Stop Loss: $0.055

💡 Trade Tip:
VANRY's falling wedge breakout aligns with +70.15% volume surge despite -6.08% dip. Target $0.12 (87% upside) if RWA/AI adoption accelerates. Tight stop-loss below $0.055 protects against demand zone breakdown. Monitor Layer-1 scalability updates and BTC correlation for trend confirmation. Track ecosystem partnerships (Virtua Metaverse) for bullish catalysts.",Vanar Chain (VANRY),vanar-chain,0.0641,0.0641,0.091,0.1546,0.0286,0.09,0.055,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1854962506332356751,09/11/2024,10-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: SpaceFalcon (FCON)
📈 Signal: Buy
🎯 Targets:
TP1: $0.00024
TP2: $0.00060
🛑 Stop Loss: $0.00008

💡 Trade Tip:
FCON’s Solana-based gaming/metaverse narrative aligns with KuCoin momentum despite -6.63% dip. Target $0.00060 (5x) if GameFi adoption accelerates. Stop-loss below $0.00008 mitigates low MCap risks. Monitor volume recovery and SOL ecosystem trends for breakout confirmation. Track NFT/DAO utility updates for sustained traction.",SpaceFalcon (FCON),spacefalcon,0.0001,0.0001,0.0001,0.0004,0.0001,0.00024,0.00008,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1863695386319458394,03/12/2024,4-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: ApeCoin (APE)
📈 Signal: Buy
🎯 Targets:
TP1: $3.00
TP2: $4.00
🛑 Stop Loss: $1.50

💡 Trade Tip:
APE's NFT revival narrative (+19.22% price surge, +93.57% volume) aligns with potential NFT market recovery. Target $4.00 (2.1x) as BAYC ecosystem activity rebounds. Tight stop-loss below $1.50 hedges against BTC volatility. Monitor Yuga Labs metaverse updates and NFT trading volumes for momentum confirmation. Track $1.90 breakout level for sustained bullish PA.",ApeCoin (APE),apecoin,1.5909,1.5909,1.9494,1.6256,0.5198,3,1.5,,
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1866513252936737161,10/12/2024,11-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Propchain (PROPC)
📈 Signal: Buy
🎯 Targets:
TP1: $3.00
TP2: $6.00
🛑 Stop Loss: $1.50

💡 Trade Tip:
PROPC’s RWA narrative (+1.72% price uptick, +18.40% volume) aligns with $125M+ real estate projects and DeFi integration. Target $6.00 (3.2x) as Dubai/Luxembourg tokenizations gain traction. Tight stop-loss below $1.50 hedges against sector volatility. Monitor MEXC/Bitget liquidity and Chainlink oracle integrations for momentum confirmation. Track PROPC burns (25% supply reduction) for scarcity-driven rallies.",Propchain (PROPC),propchain,1.8812,1.8812,1.8701,1.7395,0.4503,3,1.5,,
cryptostasher,https://x.com/cryptostasher/status/1837064630763479305,20/09/2024,21-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Houdini Swap (LOCK)
📈 Signal: Buy
🎯 Targets:
TP1: $0.3546
TP2: $0.37
🛑 Stop Loss: $0.33
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Accumulation suggests confidence in fundamentals despite recent -2.35% dip. Target historical resistance near $0.3546, with potential breakout to $0.37. Tight stop loss limits downside. Monitor volume recovery to confirm momentum.",Houdini Swap (LOCK),houdini-swap,0.3546,0.3546,0.3652,0.4022,0.1421,0.37,0.33,,
cryptostasher,https://x.com/cryptostasher/status/1837069963665785198,20/09/2024,21-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: HashAI (HASHAI)
📈 Signal: Buy
🎯 Targets:
TP1: $0.00065
TP2: $0.00075
🛑 Stop Loss: $0.00053
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Recent 8.50% price surge and market cap growth signal bullish momentum. Accumulation during panic suggests undervaluation. Target $0.00065 (resistance) and $0.00075 (breakout). Stop loss below historical support guards against reversal. Monitor volume for trend confirmation.",HashAI (HASHAI),hashai,0.0005,0.0005,0.0009,0.0009,0.0003,0.00065,0.00053,,
cryptostasher,https://x.com/cryptostasher/status/1833440073766904073,10/09/2024,11-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: PeiPei (PEIPEI)
📈 Signal: Buy
🎯 Targets:
TP1: $1.26e-7
TP2: $1.3e-7
🛑 Stop Loss: $1.2e-7

💡 Trade Tip:
Accumulation during minor dip (-0.31%) suggests confidence in rebound potential. Target historical resistance at $1.26e-7 and breakout to $1.3e-7. High volume indicates liquidity but set tight stop loss. Monitor for meme-driven momentum or Chinese community activity (🇨🇳).",PeiPei (PEIPEI),peipeicoin-vip,0.000000126,0.000000126,0.00000011,0.000000207,0.000000025,0.00000013,0.00000012,,
cryptostasher,https://x.com/cryptostasher/status/1843317402630865346,07/10/2024,8-10-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Moon Tropica (CAH)
📈 Signal: Buy
🎯 Targets:
TP1: $11.50
TP2: $12.00
🛑 Stop Loss: $10.00

💡 Trade Tip:
Accumulation phase noted despite 0.00% price change. Target breakout above $11.50 with stable market cap. Stop loss below $10.00 protects against downside. Watch for volume spikes to confirm upward momentum.",Moon Tropica (CAH),moon-tropica,10.5687,10.5687,10.2387,12.7736,2.8573,11.5,10,,
